Wall time,Step,Value
1644436571.1949563,2048,-167.6904754638672
1644436573.4190083,4096,-168.59674072265625
1644436575.6989133,6144,-159.35946655273438
1644436577.9399202,8192,-156.80130004882812
1644436580.5240128,10240,-154.47976684570312
1644436583.117078,12288,-139.5033416748047
1644436585.471783,14336,-128.07284545898438
1644436587.7177782,16384,-116.23798370361328
1644436590.0415637,18432,-112.55133819580078
1644436592.3194737,20480,-101.49869537353516
1644436595.1858087,22528,-94.395263671875
1644436597.7160442,24576,-86.05085754394531
1644436600.3948817,26624,-85.24430084228516
1644436602.872257,28672,-76.67127990722656
1644436605.8522894,30720,-76.4841079711914
1644436609.0806572,32768,-73.17052459716797
1644436612.9303644,34816,-68.13876342773438
1644436615.6490939,36864,-62.711585998535156
1644436618.9811866,38912,-59.29747772216797
1644436621.8574946,40960,-57.50072479248047
1644436624.841515,43008,-59.66486740112305
1644436627.9452167,45056,-62.099815368652344
1644436631.9405344,47104,-61.253379821777344
1644436635.7772746,49152,-61.93798828125
1644436640.2832284,51200,-60.64542770385742
1644436644.3194358,53248,-58.886295318603516
1644436649.2103584,55296,-55.59806442260742
1644436654.0145128,57344,-56.25737380981445
1644436657.7335687,59392,-54.95696258544922
1644436662.1557448,61440,-53.157318115234375
1644436666.3036702,63488,-53.89421844482422
1644436670.7008977,65536,-52.33254623413086
1644436675.4811153,67584,-50.733734130859375
1644436679.950687,69632,-48.327659606933594
1644436685.85509,71680,-45.54233169555664
1644436691.2810433,73728,-43.437110900878906
1644436697.0158875,75776,-41.8774528503418
1644436701.4130192,77824,-40.11957550048828
1644436706.127415,79872,-37.264163970947266
1644436711.95184,81920,-33.919715881347656
1644436716.6562629,83968,-29.69124412536621
1644436720.5269132,86016,-27.668697357177734
1644436725.1645133,88064,-25.611711502075195
1644436729.802113,90112,-24.049785614013672
1644436734.0248222,92160,-20.8115177154541
1644436738.6245246,94208,-19.685426712036133
1644436742.5041494,96256,-17.064437866210938
1644436746.0406952,98304,-14.393423080444336
1644436750.8877342,100352,-9.851055145263672
1644436754.7763374,102400,-9.156472206115723
1644436758.6410336,104448,0.7885334491729736
1644436762.851746,106496,5.832728862762451
1644436766.4451382,108544,13.862678527832031
1644436770.6349354,110592,23.274425506591797
1644436774.2592437,112640,30.532167434692383
1644436778.2944543,114688,35.744285583496094
1644436782.2468874,116736,37.24653244018555
1644436785.7904122,118784,35.90055465698242
1644436789.6311617,120832,43.12076950073242
1644436794.189953,122880,47.363624572753906
1644436798.87742,124928,50.575904846191406
1644436802.313233,126976,51.54936218261719
1644436805.8856812,129024,54.982975006103516
1644436809.8411086,131072,57.299400329589844
1644436814.068801,133120,64.11375427246094
1644436818.4570677,135168,71.27332305908203
1644436822.490283,137216,73.80663299560547
1644436826.7159843,139264,77.07396697998047
1644436830.440028,141312,78.13066864013672
1644436834.7325504,143360,71.04224395751953
1644436839.321281,145408,71.427734375
1644436843.3325565,147456,72.67066955566406
1644436847.5243468,149504,74.85027313232422
1644436850.8903477,151552,70.87174224853516
1644436854.394977,153600,72.99299621582031
1644436859.7626572,155648,73.99124908447266
1644436864.2955055,157696,71.93547821044922
1644436868.828385,159744,75.69334411621094
1644436873.6402876,161792,82.75678253173828
1644436877.9208417,163840,81.2651138305664
1644436882.6342394,165888,80.52238464355469
1644436886.524837,167936,83.22990417480469
1644436890.814383,169984,85.29277801513672
1644436895.3422627,172032,84.37940979003906
1644436899.8417048,174080,87.5080337524414
